[China Eye]
! Version: 20180301
! The content of this list is generated from the following resources:
https://github.com/jasonqng/chinese-keywords/
https://github.com/citizenlab/chat-censorship/
https://docs.google.com/spreadsheets/d/1UTP9MU80r_N5WPhQ5-4AjM0ebW1eMxyDlRe_vaYy9IM/edit#gid=0

!-----------------------Sensitive Keywords-----------------------!
退出中共|Quit CPC
殺習大大 |Kill Uncle Xi
十九大+王岐山+总理 |
曾庆红+江系+清理|
总理+公开信|
抓捕+江澤民|
趙紫陽+鄧小平+鎮壓學生|
被抓+曾慶紅|
總理+公開信|
王宇律师+撬门|
团派+十九大+江派 |
དུས་དབང+གོང་ས་༸ |
薄熙来不垮+政敌+李克强|
支持香港+占领中环 |
江派+上海帮+太子党 |
政治斗争+习包子|
郭+賀國強 |
被删除+江绵恒+谭晶|
郭+明镜|
温家宝+政变+江派 |
薄熙来+李克强+政敌 |
胡锦涛+权力+被架空|
江澤民+迫害+控告|
学潮+镇压学生+赵紫阳|
毛泽东+大权独揽+屠杀|
李鹏+大老虎+温家宝|
赵紫阳+披露+邓小平 |
戒严部队+天安门广场+学潮 |
坦克+王维林+天安门 |
令计划+调查+芮成钢|
文革+红军+镇压+德国之声|
江家帮+上海帮+太子党|
戒严+赵紫阳+遭到+软禁 |
人權律師+酷刑+打壓+中國政府|
习包子+铜锣湾书店 |
引咎辭職+敦請周強院長+谨以公民身份|
中共當局+政治犯+藏人|
李源潮+上海幫+團派|
李源潮+上海帮+团派|
胡錦濤+江派|
胡锦涛+江派|
李克强+十九大+习家军|
王岐山+總理+十九大|
胡锦涛+曾庆红+被抓|
胡錦濤+曾慶紅+被抓|
黄奇帆+国务院秘书长+联合早报|
胡春华+失势+团派|
喊冤+周永康+政变 |
權力+被架空+胡錦濤|
曾庆红+令计划+江派|
屠杀+藏人 |Murder + Tibetan
曾慶紅+中共權鬥|
曾庆红+中共权斗|
包子+中国梦+大撒币|
高瑜+普世价值+七不讲+泄露|
团派+落马+胡锦涛|
推翻共产党+颜色革命+港独|
包子+宽衣+大撒币|
迫害+洗脑+邪党+暴政|
七上八下+中共+十九大|
中共+1989+屠杀+专制|
གོང་ས+དུས་དབང |
李鹏+天安门+戒严+绝食|
中共当局+迫害+秦永敏 |
屠杀+中共专制+1989|
中共+一党独裁+洗脑 |
云南省长+宽衣+镇越铁路 |
江派+太子黨+團派 |
打压+人权律师+中国政府+酷刑|
打壓+人權律師+中國政府+酷刑|
中间道路+达赖喇嘛 |
中間道路+達賴喇嘛 |
王岐山留+七上八下+江系|
爆料+郭|
薄熙来+江派+清洗 |
Xi+Jianhua+corruption+abducted|
镇压学生+军队+李鹏|
太子黨+江澤民+暗殺|
政敌+王岐山+取代李克强|
周永康+亲信+江泽民+反腐|
天安门广场+绝食+赵紫阳+戒严|
港独+颜色革命+推翻共产党|
强迫性的残害+中国政府+节育器|
令计划+亲信+胡锦涛|
高层公开+习包子+斗争|
团派+江系+邓小平|
下台+张德江+清洗+江派 |
洗脑+89民运+独裁统治|
温家宝家族财富+中共高层|
团派+李源潮+太子党 |
政治斗争+令计划+中共高层|
习家军+红二代+王建平|
習家軍+紅二代+王建平|
周强下台+法学界人士+联名要求|
牺牲品+权斗+中共高层 |
中共+武力镇压+1989年|
破灭中共|Destory CPC
习李+内斗+曝光|
赵紫阳+镇压学生+邓小平|
趙紫陽+鎮壓學生+鄧小平|
专制独裁+毛粉+毛泽东发动 |
专制独裁+新闻自由+毛泽东 |
政变+大老虎+江泽民 |
亲信+江系+江泽民|
梁小军+刘晓波+煽动颠覆|
批评政府+梁小军+权平|
共产党腐败|CPC Currption
退团+退队+退党|
团派+红二代+曾庆红|
1989年+镇压学生|
文革+德国之声+镇压|
贪腐+李源潮+团派|
疯狂维稳+剥夺+体制外|
郭文贵+家族|
銀行卡復制器"|Bank Card Duplicator
#8964|# 8964
#tiananmen|# tiananmen
%49%6d%41%67%45%2e%30%48%41%70%70%79%2e%63%6e|
%69%6d%61%67%65%2e%30%68%61%70%70%79%2e%63%6e|
*(^$|* (^ $
#name?|#NAME?
..\..\|
08xianzhang|08xianzhang
08憲章|Charter 08
08县长|08 county
1 3 0|
1 3 3|
1+3|1 +3
1/9/8/9|1/9/8/9
10+10th feb|
10000|10000
12号院|12 homes
130|
133|
163|
16大|16 large
18+延期|18 + extension
18大|18 large
18大+薄|
18禁|18 ban
18禁成人游戏|
18禁情色电影|
18禁色情电影|
18岁禁入|
18岁情妇|18-year-old mistress
1959年|1959
1989|1989
198964|198964
1989年|1989
1989天安门|1989 Tiananmen
1989天安門|1989 Tiananmen
1d专正|1D are designed
1玖8玖|
1元假硬币|One yuan coins
200+活埋|
2000+大禹治水|2000 + Dayu
2003年香港七一游行|
2005年5月|May-05
2007年區議會選舉|
2008年藏人抗议事件|2008 Tibetan protests
2008年藏人抗議事件|2008 Tibetan protests
2010-2011年突尼|Tunisia 2010-2011
2010年诺贝尔和平奖|
2011年陸豐烏坎事件|2011 Lufeng Wukan
2012年藏区骚乱|2012 Tibetan riots
2012年人類滅亡說|
2012年双普选|
2012年雙普選|
2013年雅安地震|
20th_anniversary_tiananmen_square_incident_march|20th_anniversary_Tiananmen_square_incident_march
20周年网络大会|
21世纪成人在线|
21世纪中国基金会|
22号院|No. 22
22周年|22 anniversary
23|Twenty three
2453605542|2453605542
24集团军|24 Army
24年|24 years
24人通缉令|24 arrest warrants
24周年|24 anniversary
258个月|258 months
25years|25years
25年|25 years
25周年|25th Anniversary
25周年纪念|25th Anniversary
27+美元|27 + USD
27亿|2700000000
289|289
2b|2B
2的6次方|2 ^ 6
301|301
319政变|319 coup
32x2|32x2
35|35
35号院|35 homes
38军|38 Jun
38军＋贾|
38軍|38 Jun
39军|39 Jun
3d成人电影|3D adult movies
3p|3P
3p视频|3P Video
3\.19|
3号套餐|The 3rd Package
3人被甩出|
3月13日|Mar-13
3月20日|Mar-20
3月6日集会|March 6 rally
3唑仑|3 alprazolam
4|4
4-jun|
425|
45mm铅弹出售|45mm pellet sell
4月03日|Apr-03
4月3日|Apr-03
500余人＋贾|
512大地震|512 Earthquake
51uc|
51uc-address|
51uc-admin|
51uc-administrator|
51uc-album|
51uc-antivirus|
51uc-bbs|
51uc-bj|
51uc-bookmark|
51uc-ceo|
51uc-chat|
51uc-club|
51uc-clubs|
51uc-default|
51uc-demo|
51uc-doc|
51uc-dos|
51uc-download|
51uc-faq|
51uc-fee|
51uc-finance|
51uc-forum|
51uc-ftp|
51uc-game|
51uc-games|
51uc-it|
51uc-mail|
51uc-master|
51uc-member|
51uc-net|
51uc-news|
51uc-office|
51uc-op|
51uc-people|
51uc-pop|
51uc-pop3|
51uc-search|
51uc-server|
51uc-superadmin|
51uc-sys|
51uc-test|
51uc-user|
51uc-vip|
51uc-virus|
51uc-web|
51uc-webmaster|
51uc-webmastercn|
51uc-windows|
51ucaddress|
51ucadmin|
51ucadministrator|
51ucalbum|
51ucantivirus|
51ucbbs|
51ucbj|
51ucbookmark|
51ucceo|
51ucchat|
51ucclub|
51ucclubs|
51ucdefault|
51ucdemo|
51ucdoc|
51ucdos|
51ucdownload|
51ucfaq|
51ucfee|
51ucfinance|
51ucforum|
51ucftp|
51ucgame|
51ucgames|
51ucit|
51ucmail|
51ucmaster|
51ucmember|
51ucnet|
51ucnews|
51ucoffice|
51ucop|
51ucpeople|
51ucpop|
51ucpop3|
51ucsearch|
51ucserver|
51ucsuperadmin|
51ucsys|
51uctest|
51ucuser|
51ucvip|
51ucvirus|
51ucweb|
51ucwebmaster|
51ucwebmastercn|
51ucwindows|
54狗qq|54 dogs qq
54气狗qq|
54式|54 style
5m党|5M party
5毛党|5 Hair Party
5美分党|5 cents Party
5月35号|
5月35日|May 35 May
5月4日+散步|
5月4日+示威|
5月三十五|May 3 ??
6|6
6+1|6 +1
6+1栏目组|
6+4|6 +4
6-4tianwang|
610办公室|Office 610
610辦公室|Office 610
61过后三天|
61后三天|
61三天后|
61之后三天|
63+1|63 +1
64|64
64 学生|64 Students
64+24|64 +24
64+开枪|64 + shot
64+屠杀|64 + Massacre
64memo|
64反共产党|64 anti-Communist
64狗qq|64 dogs qq
64气狗qq|
64事件|64 events
64屠城|64 massacre
64学潮|64 student movement
64学运|64 student movement
64运动|64 Sports
65-1|65-1
65军|65 Jun
66455部队|66,455 troops
68appy%|68appy%
6·4|6.4
6和采|6 and mining
6和彩|6 and color
6合彩|6-color
6四|6 IV.
6月04日|Jun-04
6月的第4天|
6月的第四天|
711|711
71遊行|71 march
722|
77|77
7周年|7 anniversary
8|8
8341部队|8341 troops
88+1|88 +1
89|89
89 天安门|89 Tiananmen
89+(任意字符)|89 + 
89+动乱|89 + unrest
89-64cdjp|
8964|8964
89动乱|
89民运|89 pro-democracy movement
89事件|89 events
89学潮|89 student movement
89学运|89 student movement
89运动|89 Sports
8qb4|8qb4
8x8|8x8
8的平方|8 square
8玖|8 Nine
8宪章|
9|9
918|918
92狗qq|92 dogs qq
92气狗qq|
92式|Type 92
92手槍54式手槍|
92手狗qq|
95式自动步枪|95 automatic rifle
97ai|97ai
97gan|97gan
97gao|97gao
97isese|97isese
97se|97se
97wen|97wen
97爱|97 Love
97干|97 dry
97色|97 color
97吻|97 kisses
9ping|9ping
9评|9 Ratings
9评 共产党|9 Commentaries
9評|9 Ratings
??|
av激情视频|
anti-cnn|Anti-CNN
a片|A piece
a片下载|A film download
bbc|BBC
bbc新闻网|BBC News
bbc中文网|BBC Chinese website
blood|BLOOD
bl动画|BL animation
bo|BO
bt黄色|BT yellow
bt情色|BT Erotic
bxl|BXL
baby mama drama|Baby Mama Drama
blood is on the square|
bloomberg|Bloomberg
b〇稀莱|
b样|
cao|CAO
ccav|CCAV
ccna代考语|CCNA exam-generation language
ccp|CCP
cctv|CCTV
cdma|
cg诚|CG Cheng
chance to take actions|
cipfg|CIPFG
cly|CLY
cnn|CNN
cntv|CNTV
charter_08|Charter_08
chen_guangcheng|Chen_Guangcheng
citizens+movement|Citizens + Movement
crown_prince_party|Crown_Prince_Party
c光c|C Light C
dvd电影在线播放|
dxp|DXP
dalai|Dalai
dalai_lama|Dalai_Lama
d的领导|Leadership of D
d的嘴脸|Face of D
east_turkestan_independence_movement|East_Turkestan_Independence_Movement
evolution|Evolution
e夜情|E-night
fa-luen|FA-luen
flg|FLG
fl大法|FL Dafa
fl功|FL Power
fm2 药|FM2 drug
facebook|FaceBook
facebook+办公室|Facebook + Office
facebook+办事处|Facebook + offices
feng丛德|Feng Cong Germany
flag_of_tibet|Flag_of_Tibet
flexispy|FlexiSPY
flexispy pro|FlexiSpy PRO
flexispy下载|FlexiSpy Download
flexispy官网|Flexispy official website
flexispy破解版|Flexispy cracked version
flickr|Flickr
freeweibo|Freeweibo
f輪功|F Falun Gong
g f w|G F W
gc|GC
gcd|GCD
gcp|GCP
gd|GD
gf|GF
gfw|GFW
gj|GJ
gkl|GKL
gm提示|GM Tips
gong党|GONG party
gonhchan党|GONHCHAN party
gsk|GSK
gv链接|GV Link
gwy|GWY
gcd下台|Gcd step down
gong产|Gong production
google|Google
google审查|Google Review
great_wall_of_china|Great_Wall_Of_China
g缠谠|G wrapped Dang
g产|G production
g档|G file
g点高潮|G spot orgasm
g匪|G bandit
g狗|G Dog
g将军＋出逃|
hu锦套|HU Jin sets
hu主|HU Main
han dongfang|Han dongfang
heguoqiang|HeGuoqiang
hgame|Hgame
hohhot|Hohhot
hu_jintao_biography|Hu_Jintao_Biography
h漫|H Man
i ⅸ ⅷ ⅸ|
i-doser|I-Doser
icij|ICIJ
ied炸弹制作|IED bomb-making
iixviiiix|IIXVIIIIX
ip封锁|IP Blocking
j8|J8
jb|JB
jc|JC
jmz|JMZ
june4事件|JUNE4 event
jz民|JZ China
jasmine|Jasmine
jasmine_revolution_in_china|Jasmine_Revolution_in_China
jasmine革命|Jasmine Revolution
jonathan mirsky＋网站|
jun 4th|Jun 4th
jun+4th|Jun +4 th
june 4th|June 4th
june_4th|June_4th
j总病危|J Total dying
ktv小姐|Miss KTV
k粉|K powder
k他命|K his life
l x b|L X B
luo聊|LUO chat
luo体视频|LUO body video
lwy|LWY
liu xiaobo|Liu Xiaobo
liu_xianbin|Liu_Xianbin
liu_xiaobo|Liu_Xiaobo
liusishijian|Liusishijian
li战书|Li gauntlet
mm兼职|MM part-time
mm上门|MM home
mt 虎牙|MT eye teeth
mt-虎牙专卖|MT-eye teeth Monopoly
mao_the_unknown_story|Mao_The_Unknown_Story
n-乙酰邻氨基苯酸|N-acetyl-anthranilic acid
nbr|NBR
nf|NF
ny|NY
neil wood|Neil Wood
new york times|New York Times
nick haywood|Nick Haywood
ons交友|ONS Personals
ons俱乐部|ONS Club
ons开放俱乐部|ONS open club
ons论坛|ONS Forum
ons社区|ONS community
pcp专卖|PCP Monopoly
pkusych|PKUsych
pla|PLA
prisoner|PRISONER
px|PX
pzq|PZQ
piperonal|Piperonal
princeling|Princeling
pseudoephedrine|Pseudoephedrine
p民报|P Min Bao
p眼|P Eye
q q|Q Q
qd|QD
qvod激情电影|
qvod幼交片|
qvod援交片|
qvod情色电影|Qvod erotic film
q东|Q East
rabiye qadir|Rabiye Qadir
rebiya_kadeer|Rebiya_Kadeer
revolution|Revolution
sb|SB
sex性吧有你|
six-four|SIX-FOUR
sm工具|SM Tools
sm交友|SM Personals
sm男奴|SM male slave
sm女王|SM Queen
sm器具|SM appliances
sm图片|SM Pictures
sm玩法|SM play
sm网站|SM website
sm一族|SM family
sm用品|SM Accessories
sm游戏|SM games
sm资讯|SM Information
sassafros oil|Sassafros Oil
sexinsex|SexInSex
sky安gate|Sky security gate
slna|SlNA
sourceforge|Sourceforge
students_for_a_free_tibet|Students_for_a_Free_Tibet
sundayrally|Sundayrally
szeto_wah|Szeto_Wah
tam|TAM
tam事件|TAM event
tnt买卖|TNT trading
tor|TOR
tank_man|Tank_man
tenzin_gyatso|Tenzin_Gyatso
the soviet story|The Soviet Story
the tank man|The Tank Man
tiananmen_massacre|Tiananmen_Massacre
tiananmen_papers|Tiananmen_Papers
tiananmen_square_protests_of_1989|Tiananmen_Square_protests_of_1989
tibet|Tibet
tibet free|Tibet free
tibetan_independence_movement|Tibetan_Independence_Movement
tokyo-hot|Tokyo-Hot
tpimage|Tpimage
twitter|Twitter
ua898|UA898
uc-公告|UC-Bulletin
uc高管|UC executives
uc工作人员|UC staff
uc官方|UC official
uc后台小组|UC backstage team
uc活动|UC Activities
uc通知|UC notice
uc系统|UC System
uc信息员|UC information officer
uc巡管|UC patrol tube
uc员工|UC staff
ultrasurf|
ultrareach|Ultrareach
vi iv|VI IV
viii|VIII
viii ix vi iv|
viiiix vi iv|VIIIIX VI IV
viiv|VIIV
wei权|WEI rights
wk|WK
wlj|WLJ
wu鲁mu齐|
wikileaks|WikiLeaks
wikipedia|Wikipedia
world uyghur congress|World Uyghur Congress
xi|XI
xjb|XJB
xjp|XJP
xilai|Xilai
xwodi破解软件|Xwodi cracking software
x产党|X Party
x近平|X nearly flat
x卧底第四代|
yhwh|YHWH
youtube|YOUTUBE
yuanchao|Yuanchao
zd|ZD
zg|ZG
zhu所生！|ZHU born!
zyk|ZYK
zhengsheng|Zhengsheng
zhou yongkang|Zhou Yongkang
ziyang|Ziyang
^\s*dongtaiwang\s*$|
^\s*download freegate\s*$|
^\s*dynaweb\s*$|
^\s*freegate download\s*$|
^\s*freegate\s*$|
^\s*nuctech\s*$|
^\s*动网通\s*$|
^\s*海峰\s*$|
^\s*自由门\s*$|
^\s*自由門\s*$|
^\s*逍遥游\s*$|
^bignews|
^boxun|
^cache|
^creaders|
^dajiyuan|
^freechina|
^freedom|
^freenet|
^hrichina|
^tianwang|
^triangle|
^xinsheng|
^ytht|
address|
admin|admin
administrator|administrator
adult|adult
aiweiwei|aiweiwei
aiww|aiww
album|
an|an
anal|anal
anniversary|anniversary
antivirus|
arab spring|arab spring
atv|atv
av|
av资源|av Resources
bajiu|bajiu
baoluan|baoluan
bao熙来|bao Xilai
bbs|
berlintwitterwall|berlintwitterwall
bignews|
bitch|
bj|
bo+guagua|bo + guagua
boobs|
bookmark|
boxilai|boxilai
boxun|boxun
bo督|bo Governor
bo王事件|bo Wang event
bo西莱|bo Sile
bo西来|West to bo
bo袭来|bo hit
bullshitliar|bullshitliar
c4|c4
cctv56ly|cctv56ly
cdjp|
cdjpcdp|cdjpcdp
ceo|
chai ling|chai ling
chai 玲|chai-ling
chailing|chailing
chairman|chairman
chapter|chapter
chat|
china liberal|china liberal
chinaliberal|
chinamz|
chinese people eating babies|
chinesenewsnet|
club|
clubs|
cn220|cn220
cnd|
connected china|connected China
core病危|core dying
creaders|
crime|crime
cultural revolution|cultural revolution
culture revolution|culture revolution
dafa|dafa
dajiyuan|dajiyuan
default|
dejiang|dejiang
demo|
democracy|democracy
demonstration|demonstration
dfdz|
doc|
dongtaiwang|dongtaiwang
dos|
doshow|doshow
download|
dpp|
dsds|dsds
east.*turkistan|turkistan.*east
eight|eight
eighteen big|eighteen big
epochtimes|
fa lun|fa lun
fa lun da fa|
fa lun gong|
fakesheji|fakesheji
falali|falali
falu|
falun|falun
falundafa|falundafa
falungong|falungong
fanfou|fanfou
faq|
fa车仑|fa car Lun
fa轮|fa round
fa轮^^大法|
fee|
fgmtv|fgmtv
finance|
flexispy官方网站|flexispy Official Website
forum|
four|four
free tibet|free Tibet
free will|free will
freechina|
freedom|freedom
freeliuxiaobo|freeliuxiaobo
freenet|
freetibet|
ftp|
fuck|fuck
f轮功|f Falun Gong
g_f_w|g_f_w
game|
games|
gaoli|gaoli
gc党|gc Party
gongchan|gongchan
gongfei|gongfei
gong匪|gong bandit
gov|gov
great.*firewall|firewall.*great
gu|gu
guadie|guadie
guangcheng|guangcheng
guang诚|guang Cheng
guanzhengwu|guanzhengwu
guo|guo
g党|g Party
h9b8|h9b8
haixiachina|haixiachina
hexun|hexun
heywood|
hk64|hk64
hongzhi|
hostmaster|hostmaster
hotspot.*shield|shield.*hotspot
hrichina|
hu+wen|hu + wen
huanet|
hujin|
human rights|human rights
hypermart|
igame|igame
incest|
info|info
inmediahk|inmediahk
it|
jxx|jXX
japanese|japanese
jasmine.*revolution|revolution.*jasmine
jasmine折纸|jasmine origami
jiangdongriji|
jiangzemin|jiangzemin
jiaqinglin|jiaqinglin
jin|jin
jinping|jinping
june|june
jzm|jzm
kailai|kailai
kang|kang
kao|kao
kdf|kdf
keqiang|keqiang
king粉|king powder
kuso|kuso
lama|lama
li hong zhi|
li_peng|li_peng
lichangchun|lichangchun
lihongzhi|lihongzhi
likeqiang|
linyi|linyi
lipeng|lipeng
lipeng日记|lipeng diary
lirui|lirui
liu si|liu si
liu.*xiaobo|xiaobo.*liu
liusi|liusi
liuxiaobo|liuxiaobo
liu四|liu four
liu晓波|liu Xiaobo
liwangyang|liwangyang
lizhifang|lizhifang
liù sì|li?s?,Six four"
li长春|li Changchun
long|long
luen功|luen power
mail|
making|
maobama|maobama
maoming＋px|maoming + PX
maoming＋上街＋散步|
massacre|massacre
master|
member|
minghui|
minghuinews|
min运份子|min activist
min运人士|min activists
mm按摩|mm massage
moli|
molihua|molihua
molihua 同一地点|molihua same location
molihua 周六下午四点|
nacb|
naive|naive
